	sourcehostcomb	clinical	environmental/other	total	epitype	OneHealth_host
798	Sick cow 1_Bos taurus_environmental/other	0	1	1	sick-cow-1_bos-taurus_environmental/other	Ruminant
799	Sick cow 2_Bos taurus_environmental/other	0	1	1	sick-cow-2_bos-taurus_environmental/other	Ruminant
800	Sick cow 3_Bos taurus_environmental/other	0	1	1	sick-cow-3_bos-taurus_environmental/other	Ruminant
801	Skin (Canis lupus familiaris)_HMV_environmental/other	0	12	12	skin-(canis-lupus-familiaris)_hmv_environmental/other	Dog
802	Skin sample (Gallus gallus domesticus)_HMV_environmental/other	0	26	26	skin-sample-(gallus-gallus-domesticus)_hmv_environmental/other	Poultry
803	Skin wound (Canis lupus familiaris)_HMV_environmental/other	0	2	2	skin-wound-(canis-lupus-familiaris)_hmv_environmental/other	Dog
804	Skin(Canis lupus familiaris)_HMV_environmental/other	0	1	1	skin(canis-lupus-familiaris)_hmv_environmental/other	Dog
805	Small Intestine (Felis catus)_HMV_environmental/other	0	1	1	small-intestine-(felis-catus)_hmv_environmental/other	Environment
806	Small Intestine (Ovis aries)_HMV_environmental/other	0	1	1	small-intestine-(ovis-aries)_hmv_environmental/other	Environment
807	Small intestine_HMV_environmental/other	0	1	1	small-intestine_hmv_environmental/other	Environment
808	Soil Sample - Chicken House 1_HMV_environmental/other	0	1	1	soil-sample---chicken-house-1_hmv_environmental/other	Poultry
809	Soil Sample - Chicken House 2_HMV_environmental/other	0	2	2	soil-sample---chicken-house-2_hmv_environmental/other	Poultry
810	Soil Sample - Chicken House 3_HMV_environmental/other	0	1	1	soil-sample---chicken-house-3_hmv_environmental/other	Poultry
811	Soil_HMV_environmental/other	0	16	16	soil_hmv_environmental/other	Environment
812	Sparrow_HMV_environmental/other	0	8	8	sparrow_hmv_environmental/other	Environment
813	Specimen from wound_Homo sapiens_clinical	1	0	1	specimen-from-wound_homo-sapiens_clinical	Homosapiens
814	Spectacled Eider_HMV_environmental/other	0	6	6	spectacled-eider_hmv_environmental/other	Environment
815	Spinach_HMV_environmental/other	0	5	5	spinach_hmv_environmental/other	plant_based_food
816	Spleen (Canis lupus familiaris)_HMV_environmental/other	0	1	1	spleen-(canis-lupus-familiaris)_hmv_environmental/other	Dog
817	Split Chicken Breast_HMV_environmental/other	0	3	3	split-chicken-breast_hmv_environmental/other	Meat/Meatproduct
818	Spring Mix_HMV_environmental/other	0	5	5	spring-mix_hmv_environmental/other	Environment
819	Spring mix_HMV_environmental/other	0	1	1	spring-mix_hmv_environmental/other	Environment
820	Squirrel, Red_HMV_environmental/other	0	2	2	squirrel,-red_hmv_environmental/other	Environment
821	Steller's Eider_HMV_environmental/other	0	9	9	steller's-eider_hmv_environmental/other	Environment
822	Stool (Bos taurus)_HMV_environmental/other	0	48	48	stool-(bos-taurus)_hmv_environmental/other	Ruminant
823	Stool (Canis lupus familiaris)_HMV_environmental/other	0	27	27	stool-(canis-lupus-familiaris)_hmv_environmental/other	Dog
824	Stool (Castor canadensis)_HMV_environmental/other	0	6	6	stool-(castor-canadensis)_hmv_environmental/other	Environment
825	Surgical Site(Canis lupus familiaris)_HMV_environmental/other	0	1	1	surgical-site(canis-lupus-familiaris)_hmv_environmental/other	Dog
826	Surgical site (Canis lupis familiaris)_HMV_environmental/other	0	1	1	surgical-site-(canis-lupis-familiaris)_hmv_environmental/other	Dog
827	Surveillance swab - Groin_Homo sapiens_clinical	1	0	1	surveillance-swab---groin_homo-sapiens_clinical	Homosapiens
828	Sus scrofa domesticus, Feces_HMV_environmental/other	0	1	1	sus-scrofa-domesticus,-feces_hmv_environmental/other	Swine
829	Sus scrofa domesticus, Intestine_HMV_environmental/other	0	2	2	sus-scrofa-domesticus,-intestine_hmv_environmental/other	Swine
830	Swab (Canus lupus)_HMV_environmental/other	0	1	1	swab-(canus-lupus)_hmv_environmental/other	Environment
831	Swallow, Cliff_HMV_environmental/other	0	7	7	swallow,-cliff_hmv_environmental/other	Environment
832	Swine feces_Sus scrofa_clinical	8	0	8	swine-feces_sus-scrofa_clinical	Homosapiens
833	Thermometer_HMV_environmental/other	0	1	1	thermometer_hmv_environmental/other	Environment
834	Thoracic Fluid (Canine)_HMV_environmental/other	0	1	1	thoracic-fluid-(canine)_hmv_environmental/other	Dog
835	Tissue specimen_Homo sapiens_clinical	1	0	1	tissue-specimen_homo-sapiens_clinical	Homosapiens
836	Tissue_Homo sapiens_clinical	1	0	1	tissue_homo-sapiens_clinical	Homosapiens
837	Tissue_Liver_Homo sapiens_clinical	1	0	1	tissue_liver_homo-sapiens_clinical	Homosapiens
838	Tomato Soil_HMV_environmental/other	0	1	1	tomato-soil_hmv_environmental/other	plant_based_food
839	Trach Wash (Canis lupus familiaris)_HMV_environmental/other	0	1	1	trach--ash-(canis-lupus-familiaris)_hmv_environmental/other	Dog
840	Trachea (Canis lupus familiaris)_HMV_environmental/other	0	2	2	trachea-(canis-lupus-familiaris)_hmv_environmental/other	Dog
841	Transtracheal wash (Canine)_HMV_environmental/other	0	1	1	transtracheal-wash-(canine)_hmv_environmental/other	Dog
842	Turkey Patties_HMV_environmental/other	0	2	2	turkey-patties_hmv_environmental/other	Meat/Meatproduct
843	Turkey cecum_HMV_environmental/other	0	5	5	turkey-cecum_hmv_environmental/other	Poultry
844	Turkey, (Avian); Lung_HMV_environmental/other	0	2	2	turkey,-(avian);-lung_hmv_environmental/other	Poultry
845	Turkey, (Avian); Spleen_HMV_environmental/other	0	2	2	turkey,-(avian);-spleen_hmv_environmental/other	Poultry
846	Turkey, (Avian)_HMV_environmental/other	0	2	2	turkey,-(avian)_hmv_environmental/other	Poultry
847	Turkey; Lung_HMV_environmental/other	0	1	1	turkey;-lung_hmv_environmental/other	Poultry
848	Turkey; Peritoneum_HMV_environmental/other	0	1	1	turkey;-peritoneum_hmv_environmental/other	Poultry
849	Turkey; Spleen_HMV_environmental/other	0	1	1	turkey;-spleen_hmv_environmental/other	Poultry
850	U Cystoscopy_Homo sapiens_clinical	1	0	1	u-cystoscopy_homo-sapiens_clinical	Homosapiens
851	URINE (Canis lupus familiaris)_HMV_environmental/other	0	4	4	urine-(canis-lupus-familiaris)_hmv_environmental/other	Dog
852	URINE (Felis catus)_HMV_environmental/other	0	1	1	urine-(felis-catus)_hmv_environmental/other	Environment
853	Unknown (Canis lupus familiaris)_HMV_environmental/other	0	1	1	unknown-(canis-lupus-familiaris)_hmv_environmental/other	Dog
854	Unknown Specimen Type_HMV_environmental/other	0	10	10	unknown-specimen-type_hmv_environmental/other	Environment
855	Unknown swab (Canis lupus familiaris)_HMV_environmental/other	0	1	1	unknown-swab-(canis-lupus-familiaris)_hmv_environmental/other	Dog
856	Upshore outside the box_HMV_environmental/other	0	16	16	upshore-outside-the-box_hmv_environmental/other	Environment
857	Upshore_HMV_environmental/other	0	6	6	upshore_hmv_environmental/other	Environment
858	Urinary catheter specimen_Homo sapiens_clinical	1	0	1	urinary-catheter-specimen_homo-sapiens_clinical	Homosapiens
859	Urine (Canine)_HMV_environmental/other	0	14	14	urine-(canine)_hmv_environmental/other	Dog
860	Urine (Canis familiaris)_HMV_environmental/other	0	11	11	urine-(canis-familiaris)_hmv_environmental/other	Dog
861	Urine (Canis lupis familiaris)_HMV_environmental/other	0	2	2	urine-(canis-lupis-familiaris)_hmv_environmental/other	Dog
862	Urine (Canis lupus familaris)_HMV_environmental/other	0	5	5	urine-(canis-lupus-familaris)_hmv_environmental/other	Dog
863	Urine (Canis lupus familiaris )_HMV_environmental/other	0	11	11	urine-(canis-lupus-familiaris-)_hmv_environmental/other	Dog
864	Urine (Canis lupus familiaris familiaris)_HMV_environmental/other	0	1	1	urine-(canis-lupus-familiaris-familiaris)_hmv_environmental/other	Dog
865	Urine (Canis lupus familiaris)_HMV_environmental/other	0	278	278	urine-(canis-lupus-familiaris)_hmv_environmental/other	Dog
866	Urine (Canis lupus)_HMV_environmental/other	0	7	7	urine-(canis-lupus)_hmv_environmental/other	Environment
867	Urine (Canis)_HMV_environmental/other	0	6	6	urine-(canis)_hmv_environmental/other	Environment
868	Urine (Canius lupus)_HMV_environmental/other	0	3	3	urine-(canius-lupus)_hmv_environmental/other	Environment
869	Urine (Feline)_HMV_environmental/other	0	1	1	urine-(feline)_hmv_environmental/other	Environment
870	Urine (Felis catus domesticus)_HMV_environmental/other	0	6	6	urine-(felis-catus-domesticus)_hmv_environmental/other	Environment
871	Urine catheter_Homo sapiens_clinical	2	0	2	urine-catheter_homo-sapiens_clinical	Homosapiens
872	Urine clean catch_Homo sapiens_clinical	5	0	5	urine-clean-catch_homo-sapiens_clinical	Homosapiens
873	Urine specimen obtained by clean catch procedure_Homo sapiens_clinical	6	0	6	urine-specimen-obtained-by-clean-catch-procedure_homo-sapiens_clinical	Homosapiens
874	Urine specimen_Homo sapiens_clinical	6	0	6	urine-specimen_homo-sapiens_clinical	Homosapiens
875	Urine swab (Canis lupus familiaris)_HMV_environmental/other	0	1	1	urine-swab-(canis-lupus-familiaris)_hmv_environmental/other	Dog
876	Urine(Canis lupus familiaris)_HMV_environmental/other	0	16	16	urine(canis-lupus-familiaris)_hmv_environmental/other	Dog
877	Urine(Canius lupus)_HMV_environmental/other	0	1	1	urine(canius-lupus)_hmv_environmental/other	Environment
878	Urine/Genitourinary_Homo sapiens_clinical	1	0	1	urine/genitourinary_homo-sapiens_clinical	Homosapiens
879	Urine_4_Homo sapiens_clinical	1	0	1	urine_4_homo-sapiens_clinical	Homosapiens
880	Uterine Swab (Canis lupus)_HMV_environmental/other	0	1	1	uterine-swab-(canis-lupus)_hmv_environmental/other	Environment
881	Uterine swab (Canis lupus familiaris)_HMV_environmental/other	0	1	1	uterine-swab-(canis-lupus-familiaris)_hmv_environmental/other	Dog
882	Uterine swab_horse_environmental/other	0	2	2	uterine-swab_horse_environmental/other	Horse
883	Uterus (Canis lupus familiaris)_HMV_environmental/other	0	5	5	uterus-(canis-lupus-familiaris)_hmv_environmental/other	Dog
884	Uterus_Bos taurus_clinical	1	0	1	uterus_bos-taurus_clinical	Homosapiens
885	Uterus_Bos taurus_environmental/other	0	5	5	uterus_bos-taurus_environmental/other	Ruminant
886	Uterus_Canis lupus familiaris_environmental/other	0	1	1	uterus_canis-lupus-familiaris_environmental/other	Dog
887	Vagina (Canis lupus familiaris)_HMV_environmental/other	0	1	1	vagina-(canis-lupus-familiaris)_hmv_environmental/other	Dog
888	Vagina_Felis catus_environmental/other	0	1	1	vagina_felis-catus_environmental/other	Environment
889	Vagina_Mustela putorius furo_environmental/other	0	2	2	vagina_mustela-putorius-furo_environmental/other	Environment
890	Vaginal (Canis lupus familiaris)_HMV_environmental/other	0	5	5	vaginal-(canis-lupus-familiaris)_hmv_environmental/other	Dog
891	Vaginal swab (Canis lupis familiaris)_HMV_environmental/other	0	1	1	vaginal-swab-(canis-lupis-familiaris)_hmv_environmental/other	Dog
892	Vaginal swab (Canis lupus familiaris)_HMV_environmental/other	0	1	1	vaginal-swab-(canis-lupus-familiaris)_hmv_environmental/other	Dog
893	Veal_HMV_environmental/other	0	9	9	veal_hmv_environmental/other	Ruminant
894	Veggie Well 1_HMV_environmental/other	0	1	1	veggie--ell-1_hmv_environmental/other	plant_based_food
895	Venison sausage section_HMV_environmental/other	0	1	1	venison-sausage-section_hmv_environmental/other	Meat/Meatproduct
896	Venison_HMV_environmental/other	0	1	1	venison_hmv_environmental/other	Meat/Meatproduct
897	Washington_HMV_environmental/other	0	1	1	-ashington_hmv_environmental/other	Environment
898	Waste Water_HMV_environmental/other	0	9	9	-aste--ater_hmv_environmental/other	Environment
899	Wastewater, primary treatment_HMV_environmental/other	0	2	2	-astewater,-primary-treatment_hmv_environmental/other	Environment
900	Water for animals_HMV_environmental/other	0	8	8	-ater-for-animals_hmv_environmental/other	Environment
901	Water_HMV_environmental/other	0	19	19	-ater_hmv_environmental/other	Environment
902	Waterline_HMV_environmental/other	0	15	15	-aterline_hmv_environmental/other	Environment
903	Whole - cut in lab_HMV_environmental/other	0	10	10	-hole---cut-in-lab_hmv_environmental/other	Environment
904	Whole Chicken_HMV_environmental/other	0	4	4	-hole-chicken_hmv_environmental/other	Poultry
905	Wound (Canis lupus familiaris)_HMV_environmental/other	0	10	10	-ound-(canis-lupus-familiaris)_hmv_environmental/other	Dog
906	Wound - sacrum_Homo sapiens_clinical	1	0	1	-ound---sacrum_homo-sapiens_clinical	Homosapiens
907	Wound Swab (Canine)_HMV_environmental/other	0	1	1	-ound-swab-(canine)_hmv_environmental/other	Dog
908	Wound Swab_horse_environmental/other	0	1	1	-ound-swab_horse_environmental/other	Horse
909	Wound culture_Homo sapiens_clinical	1	0	1	-ound-culture_homo-sapiens_clinical	Homosapiens
910	Wound swab (Galliformes)_HMV_environmental/other	0	1	1	-ound-swab-(galliformes)_hmv_environmental/other	Environment
911	Wound-stent_Homo sapiens_clinical	1	0	1	-ound-stent_homo-sapiens_clinical	Homosapiens
912	Yolk sac (Gallus gallus)_HMV_environmental/other	0	4	4	yolk-sac-(gallus-gallus)_hmv_environmental/other	Meat/Meatproduct
913	Yolk sac (Meleagris gallopavo)_HMV_environmental/other	0	2	2	yolk-sac-(meleagris-gallopavo)_hmv_environmental/other	Meat/Meatproduct
914	abcess isolate_Homo sapiens_clinical	1	0	1	abcess-isolate_homo-sapiens_clinical	Homosapiens
915	abdoman (Canis lupus familiaris)_HMV_environmental/other	0	1	1	abdoman-(canis-lupus-familiaris)_hmv_environmental/other	Dog
916	abdomen_Gallus gallus domesticus_clinical	12	0	12	abdomen_gallus-gallus-domesticus_clinical	Homosapiens
917	abdomen_Gallus gallus_clinical	13	0	13	abdomen_gallus-gallus_clinical	Homosapiens
918	abdomen_chicken_environmental/other	0	1	1	abdomen_chicken_environmental/other	Poultry
919	abdominal cavity_duiker_environmental/other	0	1	1	abdominal-cavity_duiker_environmental/other	Environment
920	abdominal fluid_Homo sapiens_clinical	4	0	4	abdominal-fluid_homo-sapiens_clinical	Homosapiens
921	abdominal_Homo sapiens_clinical	3	0	3	abdominal_homo-sapiens_clinical	Homosapiens
922	abscess (Canis lupus familiaris)_HMV_environmental/other	0	1	1	abscess-(canis-lupus-familiaris)_hmv_environmental/other	Dog
923	abscess (Canis lupus)_HMV_environmental/other	0	1	1	abscess-(canis-lupus)_hmv_environmental/other	Environment
924	abscess_Homo sapiens_clinical	4	0	4	abscess_homo-sapiens_clinical	Homosapiens
925	air sac_chicken_environmental/other	0	1	1	air-sac_chicken_environmental/other	Poultry
926	airsac_Gallus gallus domesticus_environmental/other	0	2	2	airsac_gallus-gallus-domesticus_environmental/other	Poultry
927	airsac_Meleagris_environmental/other	0	1	1	airsac_meleagris_environmental/other	Poultry
928	alcohol foam dispenser in hospital intensive care unit_HMV_environmental/other	0	1	1	alcohol-foam-dispenser-in-hospital-intensive-care-unit_hmv_environmental/other	Environment
929	alfalfa sprout_HMV_environmental/other	0	2	2	alfalfa-sprout_hmv_environmental/other	plant_based_food
930	all-purpose flour_HMV_environmental/other	0	14	14	all-purpose-flour_hmv_environmental/other	plant_based_food
931	all-purpose wheat flour_HMV_environmental/other	0	6	6	all-purpose-wheat-flour_hmv_environmental/other	plant_based_food
932	almond_HMV_environmental/other	0	1	1	almond_hmv_environmental/other	plant_based_food
933	amphibian and reptile_HMV_environmental/other	0	2	2	amphibian-and-reptile_hmv_environmental/other	Environment
934	anal Gland (Canis lupus familiaris)_HMV_environmental/other	0	1	1	anal-gland-(canis-lupus-familiaris)_hmv_environmental/other	Dog
935	animal cattle heifer_HMV_environmental/other	0	1	1	animal-cattle-heifer_hmv_environmental/other	Ruminant
936	animal cattle steer_HMV_environmental/other	0	1	1	animal-cattle-steer_hmv_environmental/other	Ruminant
937	animal feed_HMV_environmental/other	0	1	1	animal-feed_hmv_environmental/other	Environment
938	animal-calf-bob veal_HMV_environmental/other	0	3	3	animal-calf-bob-veal_hmv_environmental/other	Ruminant
939	animal-calf-formula-fed veal_HMV_environmental/other	0	1	1	animal-calf-formula-fed-veal_hmv_environmental/other	Ruminant
940	animal-cattle-beef cow_HMV_environmental/other	0	229	229	animal-cattle-beef-cow_hmv_environmental/other	Ruminant
941	animal-cattle-dairy cow_HMV_environmental/other	0	460	460	animal-cattle-dairy-cow_hmv_environmental/other	Ruminant
942	animal-cattle-heifer_HMV_environmental/other	0	296	296	animal-cattle-heifer_hmv_environmental/other	Ruminant
943	animal-cattle-steer_HMV_environmental/other	0	494	494	animal-cattle-steer_hmv_environmental/other	Ruminant
944	animal-chicken-young chicken_HMV_environmental/other	0	435	435	animal-chicken-young-chicken_hmv_environmental/other	Poultry
945	animal-swine-market swine_HMV_environmental/other	0	644	644	animal-swine-market-swine_hmv_environmental/other	Swine
946	animal-swine-sow_HMV_environmental/other	0	246	246	animal-swine-sow_hmv_environmental/other	Swine
947	antelope barasingha feces (Rucervus duvaucelii)_Rucervus duvaucelii_environmental/other	0	1	1	antelope-barasingha-feces-(rucervus-duvaucelii)_rucervus-duvaucelii_environmental/other	Environment
948	antelope duiker feces (Cephalophus natalensis)_Cephalophus natalensis_environmental/other	0	1	1	antelope-duiker-feces-(cephalophus-natalensis)_cephalophus-natalensis_environmental/other	Environment
949	antelope eland_HMV_environmental/other	0	1	1	antelope-eland_hmv_environmental/other	Environment
950	antelope feces (Antilocapra americana)_Antilocapra americana_environmental/other	0	4	4	antelope-feces-(antilocapra-americana)_antilocapra-americana_environmental/other	Environment
951	antelope feces_HMV_environmental/other	0	1	1	antelope-feces_hmv_environmental/other	Environment
952	antelope gemsbok feces (Oryx gazella)_Oryx gazella_environmental/other	0	1	1	antelope-gemsbok-feces-(oryx-gazella)_oryx-gazella_environmental/other	Environment
